Eteläesplanadi,Kaivokatu,Kuusisaarentie,Merikannontie,Länsituulenkuja,year,month,day,weekday
999,1608,699,1287,646,2017,11,10,4
328,377,110,266,267,2017,11,11,5
316,474,252,564,228,2017,11,12,6
1149,1753,888,1537,730,2017,11,13,0
1246,1825,812,1505,787,2017,11,14,1
1169,1759,747,1476,662,2017,11,15,2
1123,1782,737,1378,596,2017,11,16,3
807,1225,484,928,501,2017,11,17,4
307,512,133,328,306,2017,11,18,5
217,356,125,257,190,2017,11,19,6
730,1330,588,1141,606,2017,11,20,0
631,1054,475,854,406,2017,11,21,1
794,1177,514,973,502,2017,11,22,2
587,845,441,726,389,2017,11,23,3
687,1082,406,768,445,2017,11,24,4
442,601,194,456,457,2017,11,25,5
227,449,106,302,187,2017,11,26,6
765,1311,507,1148,538,2017,11,27,0
794,1198,539,1055,523,2017,11,28,1
754,1110,436,975,494,2017,11,29,2
761,1087,456,1013,509,2017,11,30,3
464,645,293,626,329,2017,12,1,4
301,406,110,238,186,2017,12,2,5
174,288,87,203,146,2017,12,3,6
868,1315,574,1083,610,2017,12,4,0
842,1335,481,929,507,2017,12,5,1
337,508,109,318,122,2017,12,6,2
574,828,390,685,356,2017,12,7,3
490,883,301,611,376,2017,12,8,4
343,569,156,319,297,2017,12,9,5
280,463,235,382,243,2017,12,10,6
834,1304,610,1122,601,2017,12,11,0
331,562,323,573,241,2017,12,12,1
509,767,311,633,296,2017,12,13,2
600,970,404,728,320,2017,12,14,3
316,499,204,403,216,2017,12,15,4
246,414,88,236,216,2017,12,16,5
206,400,112,285,213,2017,12,17,6
716,1169,448,866,448,2017,12,18,0
687,1098,415,783,505,2017,12,19,1
760,1195,381,864,451,2017,12,20,2
634,1041,355,751,483,2017,12,21,3
499,923,278,633,476,2017,12,22,4
147,212,47,100,186,2017,12,23,5
83,284,97,171,82,2017,12,24,6
58,137,59,144,76,2017,12,25,0
110,222,98,183,141,2017,12,26,1
293,486,174,404,346,2017,12,27,2
387,613,230,474,343,2017,12,28,3
317,503,152,384,262,2017,12,29,4
262,421,146,301,246,2017,12,30,5
163,344,136,277,135,2017,12,31,6
139,237,78,173,70,2018,1,1,0
452,812,326,691,384,2018,1,2,1
508,907,449,837,391,2018,1,3,2
583,880,434,763,477,2018,1,4,3
508,848,327,676,431,2018,1,5,4
287,461,162,328,192,2018,1,6,5
201,338,150,320,190,2018,1,7,6
549,948,522,888,450,2018,1,8,0
696,1073,545,937,457,2018,1,9,1
677,1083,503,960,484,2018,1,10,2
612,1027,484,814,439,2018,1,11,3
534,1005,448,780,410,2018,1,12,4
270,450,129,310,258,2018,1,13,5
230,398,187,359,249,2018,1,14,6
598,957,545,905,453,2018,1,15,0
550,933,530,734,400,2018,1,16,1
410,816,456,704,379,2018,1,17,2
276,558,352,531,247,2018,1,18,3
301,608,390,547,283,2018,1,19,4
134,283,106,204,189,2018,1,20,5
108,184,106,201,124,2018,1,21,6
373,671,455,680,372,2018,1,22,0
361,773,465,621,316,2018,1,23,1
179,474,239,463,182,2018,1,24,2
327,560,194,444,266,2018,1,25,3
471,876,368,715,402,2018,1,26,4
188,378,127,292,231,2018,1,27,5
151,255,104,233,167,2018,1,28,6
494,847,476,817,390,2018,1,29,0
456,788,454,757,360,2018,1,30,1
448,805,402,741,362,2018,1,31,2
144,401,164,286,134,2018,2,1,3
414,1009,348,592,260,2018,2,2,4
123,249,77,145,105,2018,2,3,5
82,195,77,157,82,2018,2,4,6
297,708,382,583,232,2018,2,5,0
286,652,364,526,244,2018,2,6,1
218,572,399,532,242,2018,2,7,2
286,565,426,523,281,2018,2,8,3
235,544,374,472,269,2018,2,9,4
112,227,82,155,155,2018,2,10,5
87,211,87,204,105,2018,2,11,6
300,629,518,633,292,2018,2,12,0
302,614,383,536,249,2018,2,13,1
360,763,413,602,284,2018,2,14,2
303,667,422,586,252,2018,2,15,3
307,592,363,527,268,2018,2,16,4
105,255,81,143,132,2018,2,17,5
98,180,92,192,105,2018,2,18,6
208,456,355,477,186,2018,2,19,0
275,431,325,448,183,2018,2,20,1
259,455,285,424,175,2018,2,21,2
202,508,274,392,202,2018,2,22,3
207,456,219,298,156,2018,2,23,4
109,337,73,130,93,2018,2,24,5
81,196,81,149,68,2018,2,25,6
284,527,420,486,217,2018,2,26,0
234,560,266,343,178,2018,2,27,1
233,614,217,348,163,2018,2,28,2
225,626,285,387,193,2018,3,1,3
255,473,275,380,191,2018,3,2,4
99,195,67,108,90,2018,3,3,5
99,208,76,154,75,2018,3,4,6
276,552,403,586,253,2018,3,5,0
309,650,439,562,265,2018,3,6,1
358,629,405,594,280,2018,3,7,2
322,618,388,511,250,2018,3,8,3
188,512,287,374,237,2018,3,9,4
71,284,91,139,129,2018,3,10,5
92,290,119,154,90,2018,3,11,6
341,697,484,618,284,2018,3,12,0
243,558,339,507,209,2018,3,13,1
314,648,422,571,278,2018,3,14,2
344,659,367,555,238,2018,3,15,3
285,620,317,471,267,2018,3,16,4
143,256,113,186,135,2018,3,17,5
162,316,128,268,118,2018,3,18,6
384,754,497,632,337,2018,3,19,0
281,742,469,607,293,2018,3,20,1
351,721,420,585,270,2018,3,21,2
398,729,434,565,307,2018,3,22,3
307,738,405,515,320,2018,3,23,4
170,335,122,210,179,2018,3,24,5
468,826,541,721,378,2018,3,26,0
478,821,537,718,353,2018,3,27,1
420,930,544,675,388,2018,3,28,2
320,718,408,534,341,2018,3,29,3
153,386,166,295,171,2018,3,30,4
189,405,157,370,188,2018,3,31,5
142,359,201,298,151,2018,4,1,6
40,141,43,71,27,2018,4,2,0
342,756,419,586,264,2018,4,3,1
488,996,542,820,357,2018,4,4,2
616,1157,531,843,361,2018,4,5,3
577,1200,466,844,399,2018,4,6,4
569,999,454,853,419,2018,4,7,5
497,995,471,974,338,2018,4,8,6
1247,2203,1112,1760,778,2018,4,9,0
1177,2083,964,1661,669,2018,4,10,1
1396,2343,1091,1881,1059,2018,4,11,2
1400,2470,1106,1856,966,2018,4,12,3
1423,2452,989,1776,939,2018,4,13,4
1161,1888,905,1830,1042,2018,4,14,5
859,1462,746,1609,755,2018,4,15,6
954,1648,887,1520,623,2018,4,16,0
1810,2976,1405,2388,910,2018,4,17,1
1918,3218,1614,2594,1044,2018,4,18,2
2103,3429,1593,2912,1150,2018,4,19,3
1987,3218,1295,2380,1006,2018,4,20,4
1075,1909,629,1378,607,2018,4,21,5
613,1268,512,1151,369,2018,4,22,6
1919,3146,1552,2563,1023,2018,4,23,0
1734,2876,1221,2130,882,2018,4,24,1
1565,2564,1166,2079,818,2018,4,25,2
1877,3088,1485,2445,959,2018,4,26,3
1694,3061,1116,2090,948,2018,4,27,4
1134,1886,736,1604,747,2018,4,28,5
590,1038,361,852,339,2018,4,29,6
1759,2813,1186,2255,1106,2018,4,30,0
627,900,261,582,224,2018,5,1,1
1205,2400,1164,1948,846,2018,5,2,2
2078,3566,1742,2842,1117,2018,5,3,3
2206,3558,1557,2688,1149,2018,5,4,4
1643,2570,1286,2687,1005,2018,5,5,5
1596,2606,1709,3369,960,2018,5,6,6
2842,4824,2465,4177,1539,2018,5,7,0
3019,5112,2475,4438,1592,2018,5,8,1
3033,5125,2308,3952,1545,2018,5,9,2
1686,3165,1519,3633,963,2018,5,10,3
2522,4399,1731,3579,1464,2018,5,11,4
2152,3272,1420,3324,1106,2018,5,12,5
1621,2463,1813,3996,885,2018,5,13,6
3728,5896,3170,5767,1710,2018,5,14,0
4104,6169,3072,6300,1876,2018,5,15,1
4140,6518,2737,5643,1686,2018,5,16,2
4069,6078,2850,5105,1587,2018,5,17,3
2920,4710,1126,3379,1449,2018,5,18,4
2669,3671,840,3470,1385,2018,5,19,5
1937,3258,1674,3900,1057,2018,5,20,6
3838,5853,2944,5722,1827,2018,5,21,0
4002,6327,2706,5969,1814,2018,5,22,1
3965,5956,2198,5289,1674,2018,5,23,2
3975,5969,1994,5163,1755,2018,5,24,3
3773,5773,2010,4651,1665,2018,5,25,4
2669,4387,1409,3654,1191,2018,5,26,5
2114,3891,1670,3761,960,2018,5,27,6
3849,5840,2113,5776,1829,2018,5,28,0
4385,6232,1979,6480,1821,2018,5,29,1
4238,6274,1910,5858,1778,2018,5,30,2
3964,6054,2640,5164,1642,2018,5,31,3
3906,5267,2709,4599,1669,2018,6,1,4
2424,3340,1308,3267,1309,2018,6,2,5
2197,3144,1839,4459,958,2018,6,3,6
3538,5285,2977,4477,1460,2018,6,4,0
2958,4684,2610,3737,1252,2018,6,5,1
3197,4969,2913,3809,1197,2018,6,6,2
3348,4945,2556,3954,1336,2018,6,7,3
3015,4469,2356,3454,1283,2018,6,8,4
2035,3125,1280,2483,944,2018,6,9,5
1740,2851,1807,3318,849,2018,6,10,6
3685,5618,3488,5355,1537,2018,6,11,0
3285,5726,2670,4231,1240,2018,6,12,1
3862,5786,3420,4902,1593,2018,6,13,2
3812,5776,3256,4767,1568,2018,6,14,3
3372,5002,2532,3738,1300,2018,6,15,4
2573,3288,1640,3346,957,2018,6,16,5
1944,2776,1973,3736,803,2018,6,17,6
3484,5499,3151,4475,1502,2018,6,18,0
2533,3770,2076,2842,1075,2018,6,19,1
3466,5288,2955,4185,1444,2018,6,20,2
2125,3167,1519,2365,999,2018,6,21,3
519,707,314,599,275,2018,6,22,4
1052,1431,1029,1823,329,2018,6,23,5
813,1352,755,1343,492,2018,6,24,6
2165,3989,2341,3593,1159,2018,6,25,0
2664,5332,3260,4761,1460,2018,6,26,1
2747,5533,3264,5074,1416,2018,6,27,2
2893,5479,2686,5340,1472,2018,6,28,3
1499,3309,1199,2021,854,2018,6,29,4
1170,2790,826,1808,810,2018,6,30,5
1079,2608,1157,2381,699,2018,7,1,6
1283,2859,1557,2211,916,2018,7,2,0
1070,2331,1108,1761,665,2018,7,3,1
2242,4539,2377,3801,1241,2018,7,4,2
1580,3487,1843,2793,980,2018,7,5,3
1557,3305,1436,2416,932,2018,7,6,4
1492,2867,1496,3080,744,2018,7,7,5
