"person_id","amount_spent"
87434,14.01
24844,10.46
23566,21.32
79972,121.1
37170,14.26
95269,36.57
72763,92.85
40516,54.58
38989,20.7
54379,76.32
45159,25.53
70790,92.21
27932,28.91
90769,7.18
386,20.06
40429,65.65
45607,62.8
94708,67.5
55655,16.52
51213,80.44
25373,4.48
58296,76.02
73074,53
64688,26.21
46812,24.25
73757,20.95
58550,156.3
32885,39.51
65814,70.06
25162,32.74
95950,18.84
74043,14.41
35693,71.9
63068,72.35
46286,36
84310,13.93
11563,25.21
11695,7.27
99830,21.22
15661,132.14
17683,76.77
72563,105.45
31934,20.63
1923,8.37
77389,20.28
49531,6.31
67253,98.09
92100,79.31
36812,14.82
37401,25.91
17045,35.92
6440,105.47
30736,55.64
21663,58.84
92402,56.8
6923,36.97
35546,15.95
33018,49.02
87367,103.73
9753,19.69
22535,81.35
12912,42.87
41664,32.94
84926,25.45
30910,70.96
52040,200.92
69439,124.09
9225,61.21
91538,0.92
47937,40.79
12909,37.73
48618,217.18
72906,42.08
37392,29.51
33113,62.18
99764,35.6
57229,40.99
67722,93.55
71788,8.83
66499,19.07
51394,119.06
62922,3.79
96788,33.76
63402,39.8
40769,27.92
7104,66.33
56496,68.25
14840,64.43
65635,100.91
16038,173.29
58230,61.63
75072,2.88
96716,11.26
26699,329.23
50211,6.02
21368,58.23
33262,17.28
86606,20.79
28268,64.31
15062,20.07
14992,27.24
16709,68.25
24914,75.36
83570,22.22
43331,4.25
75652,117.04
5512,40.54
93270,4.25
67772,39.61
51918,97.8
79422,50.94
14213,77.2
77410,5.64
69452,17.99
50471,71.26
46325,38.47
28066,48.48
2303,47.52
51794,99.93
36683,100.14
75742,28.03
50423,82.98
45,17.59
14822,12.68
39898,22.82
63793,5.37
17870,53.31
20066,40.27
18590,49.06
15385,18.82
59926,18.27
28942,32.13
75990,129.41
5260,149.71
80984,20.77
60667,73.9
80353,2.63
6805,16.83
22505,44.89
84338,8.15
22097,31.14
42145,7.57
18508,25.09
6622,33.38
34275,103.08
64633,109.91
99044,21.99
55483,141.53
7732,8.36
75930,43.4
97175,38.53
15150,7.05
51285,18.77
39188,20.53
40051,93.63
75943,20.23
43950,17.99
51029,43.76
5370,8.92
6470,14.82
97679,31.2
52450,11.55
29953,5.56
35801,76.66
87069,1.33
20946,22.43
26332,101.58
55149,15.89
62957,28.34
11625,201.1
58215,74.87
17461,15.43
75131,118.38
37320,5.15
2186,16.45
57592,41.68
83528,52.45
23102,33.65
41462,37.43
43512,3.65
39999,10.52
86317,162.96
92578,36.71
66815,81.77
91896,55.82
62342,62.31
56644,201.05
86599,32.19
66710,15.83
83393,14.88
93697,75.49
55101,7.6
38367,11.76
77026,16.84
14368,72.58
