"person_id","amount_spent"
5370,12.73
60667,25.42
96716,22.08
99764,0.52
75990,49.63
79972,24.05
46325,7.74
64688,98.17
63068,41.73
12909,46.35
45,111.23
51029,58.27
75072,133.82
84926,80.01
84310,20.89
83570,22.69
37320,47.5
15385,49.11
40429,67.04
40516,54.9
9225,0.35
91896,75.22
86599,4.03
51794,9.17
87434,40.54
51394,33.75
50211,161.12
93270,87.53
16709,14.32
91538,10.07
17045,20.8
92402,61.77
386,12.14
74043,40.09
77389,20.69
69452,214.34
50471,45.16
12912,6.16
43331,18.76
55483,2.74
16038,9.4
47937,0.56
55149,0.3
96788,16.09
65814,53.86
34275,15.26
14213,39.06
18508,30.47
64633,69.33
36812,124.56
51285,34.27
69439,34.28
77026,27.4
14840,17.03
83528,1.03
23102,17.86
11695,20.76
9753,24.38
55655,88.16
66815,40.74
21368,72.11
59926,2.66
6622,8.74
93697,36.97
15150,16.82
30910,7.86
6923,4.57
75930,31.99
73757,205.76
14368,66.82
72563,8.56
37170,48.67
92578,3.81
38367,44.81
66710,59.76
6805,1.11
48618,7.85
6440,45.63
86606,47.39
39898,22.57
97175,43.23
62342,18.1
24844,78.26
15062,97.37
35693,29.53
24914,10.6
33018,147.75
99830,0.18
42145,59.68
14822,73.99
5260,67.15
11563,19.66
22412,7.93
41462,87.17
23566,5.66
28066,46.77
1923,54.79
37401,7.39
29953,98.38
58550,41.73
72763,14.31
14992,5.53
18590,6.8
92100,94.44
2186,70.48
28268,67.06
17870,37.91
75943,55.01
5512,66.03
36683,18.78
62957,73.94
35546,22.33
22505,168.71
87367,17.94
75742,16.83
25373,0.9
87069,22.01
31934,24.38
67253,171.85
97679,4.7
51213,18.41
45159,1.83
20097,41.13
52450,2.8
30736,17.9
26332,97.81
67772,29.4
28942,43.24
75131,44.19
63402,25.97
37392,23.96
94708,32.77
56496,153.03
55101,13.26
84338,13.04
40769,4.05
40051,36.57
21663,114.46
64979,23.12
22535,6.97
79422,25.15
56644,15.44
46812,12.27
7104,13.86
58230,160.14
67722,23.56
22097,34.21
32885,0.97
96783,84.99
39188,25.9
17461,81.25
80984,30.08
25162,18.55
70790,80.66
80353,75.37
62922,34.09
54379,123.39
2303,18.6
38989,112.69
57229,79.42
66499,19.91
41664,38.56
99044,82.72
39999,40.34
15661,37.99
77410,52.38
95950,35.06
20066,11.43
46286,43.91
43512,21.1
57592,148.61
65635,36.37
51918,40.34
83393,4.67
33262,8.48
